workload,version,run,ms_per_frame,cpu_ms_per_frame,fps,p50_ms,p95_ms,p99_ms,present_ms_per_frame
x11_closed,before,1,0.477513,0.470470,2094.2,0.453941,0.567316,0.948129,0.074136
x11_closed,after,1,0.444244,0.438619,2251.0,0.429455,0.505228,0.654973,0.071848
x11_closed,after,2,0.445406,0.440885,2245.1,0.431439,0.511100,0.657748,0.071115
x11_closed,before,2,0.462943,0.458280,2160.1,0.450885,0.526760,0.609155,0.070747
x11_debug,before,1,0.943813,0.934098,1059.5,0.924823,1.099415,1.219291,0.076266
x11_debug,after,1,0.893446,0.884495,1119.3,0.880098,1.002521,1.098794,0.074076
x11_debug,after,2,0.901883,0.892555,1108.8,0.887933,1.013592,1.112398,0.074179
x11_debug,before,2,0.956174,0.946394,1045.8,0.935774,1.115004,1.238167,0.076702
wayland_closed,before,1,0.680602,0.647968,1469.3,0.632990,0.965259,1.518929,0.098672
wayland_closed,after,1,0.651495,0.626456,1534.9,0.627539,0.805857,1.110905,0.090209
wayland_closed,after,2,0.669598,0.639973,1493.4,0.634483,0.857114,1.474394,0.096854
wayland_closed,before,2,0.667146,0.641978,1498.9,0.636566,0.829892,1.307177,0.089576
